PROLIFIC_PID,totalTime,rat_mean,rat_std,rat_r1r2_corr_r,rat_r1r2_corr_p,frat_r1r2_corr_r,frat_r1r2_corr_p,subj2LR_pre,subj2LR_post,subj2p0_4prm,subj2D_4prm,subj2NLL_biasedOC,subj2LRTp_biasedOC,qa:rat_%rt<300,qa:rat_%rt>10000,qa:rat_%Conseqs,qa:rat_instruxDur,qa:rat_blurEv,qa:dec_%rt<300,qa:dec_%rt>10000,qa:dec_%Conseqs,qa:dec_instruxDur,qa:dec_blurEv,qa:frat_%rt<300,qa:frat_%rt>10000,qa:frat_%Conseqs,qa:frat_instruxDur
5f2f86864fd821374b4367bc,565.772,5.25,3.197589134205088,-0.163285545706492,0.3886011631275894,-0.2120066237423686,0.5082940638631399,0.083755521498185,0.0015205002153503,-1.0,0.9999546021312976,119.44190584100552,2.3647775254663748e-42,0.0,0.0,0.4,12.25,0.0,0.75,0.0,0.946969696969697,60.43,0.0,0.1666666666666666,0.0,0.6666666666666666,13.94
61492ac26b91b5b11ba2c88b,631.332,4.216666666666667,2.597858744523492,0.9518484346245268,6.564740816535097e-16,0.5346057418960863,0.0733347127564009,0.3631412999503619,4.53978687024344e-05,0.0446211273085863,0.780162815789922,183.9129989661533,4.2151217233116587e-14,0.0,0.0,0.2333333333333333,8.42,1.0,0.0,0.0,0.1969696969696969,89.2,0.0,0.0,0.0,0.0833333333333333,17.42
60234c1d5a0cf81cba76ce5d,800.233,4.833333333333333,2.6944177489115746,0.8069737469556535,7.179993937489609e-08,0.4049907429405976,0.1915606025287686,0.4784646875185136,0.480707031463352,-0.5947976641165079,0.5236127846628874,205.66910289472884,0.0002318706266323,0.0,0.0,0.1666666666666666,13.11,0.0,0.0151515151515151,0.0,0.3560606060606061,135.66,0.0,0.0,0.0,0.25,15.3
6362aca86b740b1ec4cb6efb,878.497,4.916666666666667,3.4162704744797736,-0.5318835497624039,0.0024858739880143,0.3044387078366815,0.335991797308029,0.1489511981053124,0.0420536077041555,-1.0,0.9999546021312976,157.9693694083995,1.661908433853588e-25,0.2166666666666666,0.0,0.35,32.46,2.0,0.0606060606060606,0.0,0.3181818181818182,170.04,1.0,0.1666666666666666,0.0,0.0,26.1
60fcd2b146529d02f1566012,529.8,5.383333333333334,1.949286411516864,0.6340947376931119,0.0001682292170596,0.7952612628504397,0.0019861214690091,0.3113691235534312,4.53978687024344e-05,-0.620706983227583,0.9999546021312976,165.68616435031123,4.0226288518681424e-22,0.0,0.0,0.2333333333333333,6.11,2.0,0.0833333333333333,0.0,0.5378787878787878,48.83,0.0,0.0,0.0,0.0833333333333333,14.07
63ed12d2c25b08ba24fe8a41,846.621,5.25,2.0052896151623503,0.4057166639184314,0.0261195374231897,-0.3383679829706526,0.2820151080976992,0.411066875544904,0.0941670136631321,-0.1642718559749712,0.8155110923092529,200.09554150455085,6.696589982220845e-07,0.0,0.0166666666666666,0.1666666666666666,18.85,1.0,0.0151515151515151,0.0,0.3106060606060606,128.65,0.0,0.0,0.0,0.0833333333333333,17.55
5d412a9013864b0015b14b31,721.525,4.683333333333334,1.5348126001287992,0.8168516045225248,3.673645149758313e-08,0.5555414923488222,0.0607544723019524,0.636672981274738,0.1424580359437735,-1.0,0.9649382806511322,178.96564370736888,2.7702717961420077e-16,0.0,0.0,0.1,17.33,0.0,0.1590909090909091,0.0,0.2424242424242424,91.27,0.0,0.0,0.0,0.25,22.37
610b416fd4f5d1dcfaa28d7a,803.327,3.633333333333333,1.9481992264624015,0.46497816167166,0.0096262806058665,-0.0614255697248012,0.8495934126467422,0.6878176235870274,0.4484061311480325,1.0,0.4301899420584187,186.34037049126763,4.984948410543646e-13,0.0,0.0,0.25,24.02,0.0,0.0151515151515151,0.0,0.1818181818181818,124.38,0.0,0.0,0.0,0.0833333333333333,31.62
63d9f31dba727de153019798,967.015,6.8,1.581674718535463,0.6485936158261811,0.0001059951219734,0.9574749827023764,1.019625630683657e-06,0.6226683038643419,4.53978687024344e-05,1.0,4.53978687024344e-05,139.17200847455322,9.854415927904556e-34,0.0,0.0,0.6333333333333333,20.42,1.0,0.4090909090909091,0.0,0.4621212121212121,28.82,0.0,0.0,0.0,0.25,33.07
620bdd8ca922fc3f247f6c82,492.374,4.783333333333333,1.7859305760859994,0.3550180997287222,0.0542133350046714,0.358302088090296,0.252775276156893,0.1337474937269112,0.1109434882038923,0.2637536986550761,0.8568694338637814,197.73846727211296,5.843350298023397e-08,0.3333333333333333,0.0,0.0666666666666666,7.82,0.0,0.4318181818181818,0.0,0.2878787878787879,35.84,0.0,0.5833333333333334,0.0,0.1666666666666666,73.76
62ec219e5f3634408fb35580,580.123,4.433333333333334,2.36762533301072,0.9019710890431288,1.0088903027443758e-11,0.9240300408519946,1.752515655257651e-05,0.764204122217146,0.7752057734285356,-0.4351041692030356,0.9999546021312976,148.95107941857486,1.8676369440464522e-29,0.0,0.0,0.2166666666666666,10.15,0.0,0.0303030303030303,0.0,0.4015151515151515,92.04,0.0,0.0,0.0,0.0833333333333333,9.87
